RK,SCHOOL,CONF,COACH,SCHOOL PAY,TOTAL PAY,MAX BONUS,BONUSES PAID (2017-18),ASST PAY TOTAL,SCHOOL BUYOUT AS OF 4/1/19
56,Missouri,SEC,Barry Odom,"$2,350,000","$2,350,000","$1,025,000","$375,000","$4,380,000","$1,912,500"
57,Rutgers,Big Ten,Chris Ash,"$2,200,000","$2,200,000","$960,000","$50,000","$3,129,155","$10,350,000"
58,Navy,AAC,Ken Niumatalolo,"$2,163,000","$2,163,000",--,--,$0,--
59,Notre Dame,Ind.,Brian Kelly,"$2,129,638","$2,129,638",--,--,$0,--
60,Cincinnati,AAC,Luke Fickell,"$2,000,000","$2,000,000","$625,000",$0,"$2,425,000","$7,100,000"
61,Arizona,Pac-12,Kevin Sumlin,"$1,600,000","$2,000,000","$2,025,000",--,"$3,155,000","$10,000,000"
62,Arizona State,Pac-12,Herm Edwards,"$2,000,000","$2,000,000","$3,010,000",--,"$3,730,000","$8,166,667"
63,Oregon State,Pac-12,Jonathan Smith,"$1,900,008","$1,900,008","$1,275,000",--,"$3,075,060","$4,037,517"
64,Wake Forest,ACC,Dave Clawson,"$1,831,580","$1,831,580",--,--,$0,--
65,Indiana,Big Ten,Tom Allen,"$1,830,000","$1,830,000","$1,441,668",$0,"$3,104,903","$2,000,000"
66,Colorado State,Mt. West,Mike Bobo,"$1,800,000","$1,800,000","$905,000","$50,000","$1,942,375","$8,000,000"
67,Houston,AAC,Major Applewhite,"$1,750,000","$1,750,000","$782,500","$20,000","$2,136,000","$2,112,500"
68,Kansas,Big 12,David Beaty,"$1,701,109","$1,701,109","$2,000,000",$0,"$3,002,299","$3,000,000"
69,Central Florida,AAC,Josh Heupel,"$1,700,000","$1,700,000","$250,000",--,"$2,365,000","$3,587,500"
70,Boise State,Mt. West,Bryan Harsin,"$1,650,010","$1,650,010","$475,000","$145,000","$2,345,018","$7,784,038"
71,Tulane,AAC,Willie Fritz,"$1,629,000","$1,629,000",--,--,$0,--
72,Fresno State,Mt. West,Jeff Tedford,"$1,550,000","$1,550,000","$2,765,000","$1,240,000","$1,816,136","$5,440,000"
73,Tulsa,AAC,Philip Montgomery,"$1,518,177","$1,518,177",--,--,"$401,191",--
74,California,Pac-12,Justin Wilcox,"$1,500,000","$1,500,000","$900,000","$75,000","$3,742,000","$7,208,500"
